sep=;
Object;DCN;Description;Design Responsible;KOLA Time;Status;Fact No Time;Product Class;LinkID;Function Group;Suffix;Context;Usage;Partno;Part issue;Qty;Amount;UoM;Name;Variants;Added;Deleted;Parttype;Module;Safety Part;Direction;Old LinkID;New Link ID;AssyMark;AssyMark Fact
51-00794;K1620439;"PC23 - CLEAN UP OBSOLETE LINKS 2023";03776;202409;Introduced;;=T("23");652477;3745;10;1;2;980464;P04;00001;     ;001;CABLE TIE;FAA20,1EX-U1X;K1566925;K1620439;D;020-010-060;;;;;;
51-00794;K1620439;"PC23 - CLEAN UP OBSOLETE LINKS 2023";03776;202409;Introduced;;=T("23");652478;3745;10;1;2;948211;P02;00001;     ;001;CABLE TIE;FAA20,1EX-U1X;K1566925;K1620439;D;020-010-060;;;;;;
51-00794;K1620439;"PC23 - CLEAN UP OBSOLETE LINKS 2023";03776;202409;Introduced;;=T("23");652479;3745;10;1;2;20519287;P02;00001;     ;001;RETAINER;FAA20,1EX-U1X;K1566925;K1620439;D;020-010-060;;;;;;
51-00794;K1620439;"PC23 - CLEAN UP OBSOLETE LINKS 2023";03776;202409;Introduced;;=T("23");652495;7761;01;11;1;21948755;P08;00001;     ;001;BRACKET;1EX-U1X;K1566925;K1620439;K;020-010-020;;;;;;
51-00794;K1620439;"PC23 - CLEAN UP OBSOLETE LINKS 2023";03776;202409;Introduced;;=T("23");652496;7761;01;21;1;990950;P02;00002;     ;001;FLANGE LOCK NUT;1EX-U1X;K1566925;K1620439;D;021-040-010;;;;;;
51-00794;K1620439;"PC23 - CLEAN UP OBSOLETE LINKS 2023";03776;202409;Introduced;;=T("23");652497;7761;01;32;1;984851;P03;00002;     ;001;FLANGE SCREW;1EX-U1X;K1566925;K1620439;D;020-010-020;;;;;;
51-00794;K1620439;"PC23 - CLEAN UP OBSOLETE LINKS 2023";03776;202409;Introduced;;=T("23");652498;7761;01;32;1;990943;P02;00002;     ;001;FLANGE NUT;1EX-U1X;K1566925;K1620439;D;020-010-020;;;;;;
51-00794;K1620439;"PC23 - CLEAN UP OBSOLETE LINKS 2023";03776;202409;Introduced;;=T("23");652500;7761;01;90;1;21948730;G02;00001;     ;;TPMS                     ;1EX-U1X;K1566925;K1620439;5;020-010-020;;;;;;
51-00794;K1620439;"PC23 - CLEAN UP OBSOLETE LINKS 2023";03776;202409;Introduced;;=T("23");658626;3745;10;1;2;980464;P04;00001;     ;001;CABLE TIE;FAA22,1EX-U1X;K1566275;K1620439;D;020-010-060;;;;;;
51-00794;K1620439;"PC23 - CLEAN UP OBSOLETE LINKS 2023";03776;202409;Introduced;;=T("23");658627;3745;10;1;2;948211;P02;00001;     ;001;CABLE TIE;FAA22,1EX-U1X;K1566275;K1620439;D;020-010-060;;;;;;
51-00794;K1620439;"PC23 - CLEAN UP OBSOLETE LINKS 2023";03776;202409;Introduced;;=T("23");658628;3745;10;1;2;20519287;P02;00001;     ;001;RETAINER;FAA22,1EX-U1X;K1566275;K1620439;D;020-010-060;;;;;;
51-00794;K1620439;"PC23 - CLEAN UP OBSOLETE LINKS 2023";03776;202409;Introduced;;=T("23");661405;3753;03;90;3;78678184;G01;00001;     ;;HARNESS UNDER ROOF H2 T1 ;EL-GEN2,CABH220;K1567962;K1620439;5;020-095-005;;;;;;
51-00794;K1620439;"PC23 - CLEAN UP OBSOLETE LINKS 2023";03776;202409;Introduced;;=T("23");661451;374 ;12;90;4;22814465;G04;00001;     ;;W/H MF TPMS TXMB4827     ;FAA22,TXMB4827,1EX-U1X;K1561318;K1620439;5;020-010-060;;;;;;
51-00794;K1620439;"PC23 - CLEAN UP OBSOLETE LINKS 2023";03776;202409;Introduced;;=T("23");665282;3754;09;1;1;24364152;P03;00001;     ;001;WIRES;STWPOS-R,EL-GEN2B,SPDOC2,UANTCB,UINFOT;K1570912;K1620439;D;020-095-005;N;;;;;
51-00794;K1620439;"PC23 - CLEAN UP OBSOLETE LINKS 2023";03776;202409;Introduced;;=T("23");676984;5931;01;1;20;21926391;P04;00001;     ;001;COVER;EL-GEN2,BSYS-EBS;K1580047;K1620439;D;021-010-020;;;;;;
51-00794;K1620439;"PC23 - CLEAN UP OBSOLETE LINKS 2023";03776;202409;Introduced;;=T("23");676985;5931;01;21;1;990950;P02;00003;     ;001;FLANGE LOCK NUT;EL-GEN2,BSYS-EBS;K1580047;K1620439;D;021-010-020;;;;;;
51-00794;K1620439;"PC23 - CLEAN UP OBSOLETE LINKS 2023";03776;202409;Introduced;;=T("23");679667;5618;01;1;1;24148272;P04;00001;     ;001;AIR PRODUCTION MODULATOR;EL-GEN2,BSYS-EBS,PBRAKE-E;K1581965;K1620439;K;015-010-010;Y;;;;;
